2,82.156,730.794,47.973,35.322,35.121,16.049,0.039,0.035,1.118,nan,24.977,63.073,1.238,2.351
3,117.812,509.475,53.841,11.331,11.299,0.0,0.001,0.002,0.797,nan,8.012,75.884,1.54,0.299
4,79.513,754.908,58.681,39.236,38.998,16.667,0.051,0.034,1.493,nan,27.744,78.404,1.478,1.754
5,99.136,605.214,26.409,11.756,11.696,0.0,0.055,0.009,6.002,nan,8.313,36.541,1.732,1.07
6,84.71,708.571,59.149,35.01,34.926,14.458,0.019,0.042,0.457,nan,24.756,78.019,1.252,1.551
7,91.277,665.778,107.434,99.351,98.811,37.079,0.014,0.095,0.146,nan,70.252,134.712,0.992,0.773
8,95.679,627.398,47.191,28.6,28.45,9.474,0.043,0.023,1.872,nan,20.223,63.915,1.61,0.933
9,87.027,689.751,45.352,33.931,33.733,13.953,0.053,0.046,1.162,nan,23.993,58.656,1.347,1.348
10,128.854,465.636,34.013,10.667,10.627,0.0,0.011,0.005,2.275,nan,7.542,47.632,1.826,0.609
11,133.452,449.675,22.396,4.415,4.425,0.0,0.002,0.001,3.038,nan,3.122,31.348,1.673,0.273
13,114.99,521.884,30.81,12.32,12.273,0.0,0.019,0.014,1.392,nan,8.712,42.756,1.637,0.827
14,140.973,425.653,23.629,4.889,4.886,0.0,0.003,0.002,1.789,nan,3.457,33.111,1.566,0.427
15,92.409,649.608,50.896,46.923,46.663,15.385,0.044,0.051,0.87,nan,33.18,64.242,1.26,1.649
16,138.548,433.149,22.168,5.926,5.918,0.0,0.02,0.011,1.756,nan,4.191,31.008,1.722,0.415
17,116.729,514.186,56.052,25.33,25.221,6.087,0.013,0.014,0.93,nan,17.911,77.526,1.435,0.474
