2,79.921,751.014,69.221,38.877,38.795,15.966,0.026,0.006,4.242,0.004,27.49,94.07,1.456,1.371
3,98.281,610.656,115.937,37.027,36.964,13.605,0.005,0.001,3.973,0.001,26.182,161.949,1.428,0.393
4,76.172,787.936,69.726,39.538,39.451,20.264,0.01,0.005,1.801,0.003,27.958,94.773,1.403,1.47
5,94.965,631.863,47.191,15.45,15.424,0.707,0.016,0.001,12.064,0.003,10.925,65.895,1.809,0.737
6,81.437,737.237,73.854,46.014,45.928,22.222,0.027,0.03,0.9,0.004,32.536,98.853,1.325,1.391
7,84.768,724.084,123.895,120.797,120.562,47.984,0.008,0.054,0.155,0.001,85.417,152.488,0.878,1.156
8,91.705,662.082,112.424,139.273,139.015,21.402,0.031,0.038,0.805,0.011,98.481,125.158,0.855,0.707
9,83.314,720.488,61.048,35.673,35.612,15.261,0.038,0.029,1.291,0.002,25.225,82.166,1.434,1.419
10,117.671,509.963,54.07,18.779,18.752,1.14,0.015,0.004,3.74,0.002,13.279,75.406,1.644,0.545
11,129.297,464.045,22.088,5.611,5.606,0.0,0.021,0.003,6.762,0.006,3.968,30.952,1.729,0.543
13,117.335,511.343,34.681,15.559,15.536,2.0,0.025,0.01,2.345,0.013,11.002,47.803,1.542,0.791
14,133.862,448.26,32.065,7.427,7.418,0.251,0.007,0.001,5.246,0.001,5.252,45.075,1.687,0.5
15,88.719,676.544,55.594,39.881,39.806,15.472,0.017,0.012,1.45,0.003,28.2,73.368,1.304,1.612
16,131.646,455.769,27.071,7.479,7.474,0.0,0.025,0.007,3.772,0.002,5.288,37.767,1.63,0.539
17,109.967,547.457,70.399,54.893,54.809,10.092,0.038,0.026,1.449,0.013,38.815,91.765,1.188,0.62
