2,62.707,957.531,68.98,62.709,62.322,40.816,0.031,0.05,0.617,nan,44.342,82.424,0.815,1.19
4,65.962,879.017,163.887,143.004,141.772,38.983,0.028,0.035,0.795,nan,101.119,206.134,1.041,1.35
5,66.382,903.965,63.525,43.904,43.511,21.053,0.018,0.015,1.197,nan,31.045,85.138,1.46,2.11
10,74.993,800.219,36.159,22.372,22.228,4.11,0.027,0.013,2.06,nan,15.819,48.238,1.37,1.582
10,77.866,770.602,57.94,22.74,22.661,2.273,0.012,0.002,5.362,nan,16.08,80.099,1.604,0.999
10,82.317,736.6,94.604,121.837,121.188,13.684,0.055,0.086,0.641,nan,86.152,103.193,0.711,0.68
10,85.062,705.483,76.402,19.04,18.931,2.299,0.009,0.001,12.289,nan,13.463,107.167,1.871,0.582
10,78.717,762.159,42.296,17.664,17.534,1.587,0.012,0.009,1.338,nan,12.491,58.185,1.514,1.083
12,61.082,982.364,86.466,47.957,47.632,34.848,0.004,0.005,0.794,nan,33.911,117.862,1.05,1.695
13,77.693,772.798,92.351,53.634,53.314,23.81,0.052,0.01,5.12,nan,37.925,125.484,1.547,1.062
14,60.692,988.662,58.502,41.815,41.503,17.647,0.056,0.068,0.824,nan,29.567,77.877,1.101,1.576
15,68.68,873.902,74.323,75.802,75.195,49.18,0.046,0.041,1.11,nan,53.6,90.71,1.127,2.398
15,73.014,821.96,59.275,53.003,52.647,32.0,0.007,0.034,0.217,nan,37.479,75.515,0.705,2.028
15,75.453,795.635,70.277,50.664,50.265,28.571,0.012,0.024,0.512,nan,35.825,93.32,0.854,1.833
16,56.697,1058.266,122.835,134.599,134.179,67.188,0.01,0.078,0.122,nan,95.176,108.666,0.472,1.169
17,65.556,915.923,40.837,50.85,50.391,38.462,0.007,0.071,0.099,nan,35.957,44.546,0.445,1.335
18,78.188,768.181,44.513,33.076,32.977,3.614,0.049,0.005,9.565,nan,23.388,55.676,1.636,1.792
21,77.589,773.133,94.66,44.063,43.828,21.111,0.05,0.01,4.978,nan,31.158,130.695,1.48,0.865
21,79.601,753.819,89.695,56.035,55.698,25.301,0.065,0.028,2.325,nan,39.622,121.138,1.468,1.19
22,83.249,720.519,74.899,48.883,48.609,24.691,0.043,0.039,1.105,nan,34.565,99.703,1.358,1.414
23,81.807,733.795,54.473,33.217,32.999,8.219,0.048,0.025,1.915,nan,23.488,73.49,1.604,1.363
23,82.467,727.883,72.79,41.392,41.132,12.987,0.066,0.012,5.548,nan,29.268,98.808,1.586,1.113
23,81.509,736.615,61.013,33.436,33.233,10.256,0.053,0.01,5.477,nan,23.643,82.913,1.655,1.13
24,71.212,843.716,43.709,56.503,56.119,37.838,0.014,0.064,0.225,nan,39.954,45.621,0.531,2.251
26,62.46,961.057,31.271,41.433,41.036,26.415,0.013,0.081,0.157,nan,29.297,33.179,0.486,1.897
28,85.165,704.582,77.723,32.517,32.399,13.924,0.016,0.002,8.71,nan,22.993,107.1,1.559,0.845
28,79.979,751.116,57.816,34.116,33.873,14.493,0.056,0.022,2.481,nan,24.123,77.085,1.466,1.137
29,67.992,882.787,26.514,22.712,22.56,1.639,0.014,0.086,0.163,nan,16.06,33.129,0.769,1.488
29,68.145,880.718,33.21,25.338,25.178,1.408,0.051,0.018,2.826,nan,17.917,43.323,1.244,1.705
29,67.434,889.797,21.641,20.403,20.229,0.0,0.028,0.048,0.574,nan,14.427,27.038,0.997,1.609
29,72.831,823.462,61.924,25.641,25.494,3.077,0.003,0.004,0.781,nan,18.131,85.806,1.392,1.407
29,66.115,906.027,47.158,33.716,33.592,4.054,0.025,0.008,3.321,nan,23.841,57.541,1.489,1.361
29,65.565,915.421,72.899,34.503,34.508,17.105,0.008,0.012,0.609,nan,24.397,96.936,1.107,1.168
