1,2.06,74.681,803.516,56.181,34.449,34.338,11.111,0.046,0.018,2.514,nan,24.359,75.719,1.432,1.326
2,2.78,65.802,912.39,64.524,57.265,57.107,33.516,0.02,0.018,1.1,0.007,40.492,81.973,1.046,1.697
3,1.98,64.178,935.111,108.467,53.393,53.184,30.159,0.014,0.006,2.399,nan,37.754,149.174,1.318,1.421
4,2.15,56.719,1058.917,85.786,92.949,92.575,55.833,0.022,0.057,0.39,0.002,65.725,100.88,0.832,1.536
5,2.11,69.629,861.752,93.651,35.132,35.01,15.172,0.004,0.003,1.438,nan,24.842,130.392,1.201,1.088
6,2.31,72.185,831.756,118.169,52.227,52.07,25.0,0.01,0.002,5.264,0.007,36.93,163.337,1.559,0.856
7,2.4,71.93,834.474,101.534,72.023,71.822,32.749,0.016,0.008,1.962,0.006,50.928,134.169,1.196,1.296
8,2.1,74.191,808.535,40.968,22.092,22.02,2.581,0.068,0.007,9.819,nan,15.621,55.518,1.585,1.21
9,2.35,74.964,800.72,67.968,45.928,45.798,25.143,0.019,0.013,1.531,0.001,32.476,90.492,1.171,1.539
10,2.15,72.968,822.387,42.148,20.597,20.531,0.0,0.011,0.009,1.183,0.002,14.565,57.981,1.136,1.584
11,2.26,66.181,906.557,55.752,40.592,40.46,21.477,0.02,0.014,1.503,0.003,28.703,73.399,1.151,1.762
12,2.63,56.582,1061.388,104.904,71.45,71.212,44.218,0.034,0.006,5.261,0.004,50.523,139.507,1.353,1.628
13,2.28,76.69,782.52,60.972,38.549,38.437,17.919,0.034,0.027,1.241,0.002,27.258,82.022,1.267,1.274
14,3.97,61.363,977.934,44.548,36.696,36.62,13.169,0.019,0.018,1.019,0.012,25.948,57.509,1.022,1.694
15,2.08,71.646,837.939,63.894,52.924,52.744,34.694,0.006,0.011,0.549,nan,37.423,82.381,0.677,1.444
16,5.94,54.909,1090.429,88.667,110.472,110.302,67.178,0.006,0.037,0.17,0.004,78.115,98.286,0.539,1.551
17,1.95,66.338,905.094,46.518,49.486,49.298,35.938,0.022,0.052,0.43,nan,34.992,54.698,0.643,1.521
18,2.44,79.296,756.482,51.441,24.499,24.448,3.627,0.013,0.003,3.687,0.002,17.324,70.436,1.486,1.168
19,3.87,60.807,987.44,66.37,61.746,61.621,27.778,0.054,0.02,2.674,0.013,43.661,80.657,1.057,1.333
20,2.13,71.898,834.73,72.603,32.577,32.471,9.211,0.029,0.004,7.365,0.001,23.035,99.925,1.586,1.006
21,2.74,79.342,756.519,66.002,35.367,35.311,9.259,0.025,0.009,2.702,0.009,25.008,88.951,1.425,1.177
22,2.45,83.485,718.857,79.543,47.602,47.484,23.645,0.013,0.014,0.912,0.002,33.66,107.071,1.374,1.095
23,2.21,82.381,728.439,62.706,30.393,30.308,7.778,0.063,0.021,3.034,0.004,21.491,86.29,1.559,1.351
24,2.74,73.643,815.315,61.956,60.027,59.876,40.5,0.021,0.028,0.741,0.01,42.445,76.541,0.933,1.74
25,2.68,70.528,850.872,53.265,31.037,30.954,7.979,0.017,0.006,2.767,0.012,21.947,72.266,1.401,1.223
26,1.37,62.999,952.588,30.537,35.662,35.449,18.824,0.036,0.046,0.789,nan,25.217,34.948,0.772,1.81
27,2.02,78.872,760.81,32.253,14.421,14.378,0.0,0.042,0.008,5.022,nan,10.197,44.49,1.571,1.176
28,2.25,85.078,705.232,65.665,22.268,22.214,5.263,0.018,0.001,14.8,0.007,15.746,91.642,1.697,0.914
29,3.61,69.219,867.044,51.924,26.607,26.558,5.242,0.004,0.002,1.994,0.001,18.814,70.443,1.225,1.468
30,2.0,86.046,697.725,51.303,34.489,34.398,11.696,0.072,0.032,2.236,nan,24.387,68.095,1.237,1.354
