2,75.457,795.575,93.188,63.241,63.099,28.889,0.03,0.008,3.728,0.007,44.718,124.243,1.273,1.463
3,55.705,1078.855,124.836,126.216,125.847,68.072,0.043,0.043,1.007,0.004,89.248,151.943,0.826,1.733
4,64.228,935.305,99.956,85.508,85.296,48.438,0.009,0.012,0.785,0.005,60.463,127.349,0.879,1.493
5,63.94,938.616,61.311,32.773,32.692,9.948,0.024,0.002,9.651,0.011,23.174,83.211,1.562,1.527
6,68.747,873.095,62.868,33.503,33.429,11.765,0.024,0.006,4.041,0.008,23.69,84.977,1.418,1.618
7,72.713,825.774,100.425,72.218,72.054,34.259,0.029,0.011,2.742,0.005,51.066,132.664,1.218,1.18
8,65.26,920.0,76.563,73.878,73.687,49.231,0.025,0.036,0.704,0.009,52.24,95.023,0.884,1.478
9,74.503,805.598,72.827,46.779,46.674,21.171,0.051,0.012,4.335,0.003,33.078,97.74,1.412,1.296
10,97.02,618.404,46.94,11.562,11.546,0.69,0.003,0.0,8.146,0.001,8.175,65.88,1.573,0.541
11,72.93,823.12,68.456,54.269,54.144,34.562,0.021,0.021,1.019,0.004,38.374,88.858,0.947,1.545
13,86.01,697.656,62.486,34.612,34.544,9.375,0.015,0.006,2.549,0.01,24.474,85.02,1.383,1.039
14,71.176,843.248,65.547,38.256,38.167,18.868,0.007,0.006,1.201,0.01,27.051,88.761,1.193,1.436
15,81.634,735.076,64.338,47.46,47.363,6.557,0.034,0.011,3.096,0.009,33.559,84.643,1.286,1.01
16,64.378,932.336,98.238,68.809,68.63,46.875,0.022,0.013,1.641,0.01,48.655,128.878,1.143,1.641
17,68.292,879.627,128.373,92.584,92.368,54.187,0.011,0.028,0.405,0.012,65.467,169.03,0.913,1.857
